DateTime,lat_p,lon_p,wind,pres,lat_w,lon_w,step,windrad,name,labels
2017-01-01 00:00:00,60.6,267.7,13.889988,988,60.9,266.7,0,11288435.5102493,unnamed_atl1,class2
2017-01-01 06:00:00,60.3,269.1,12.346656,991,60,267.4,6,11519888.0186688,unnamed_atl1,class1
2017-01-01 00:00:00,-7.6,92.1,12.346656,1005,-10.3,96.1,0,11290329.8960368,unnamed_aus1,class1
2017-01-01 00:00:00,-15.8,135,12.346656,1000,-11.8,136.2,0,15712980.1947019,unnamed_aus2,class1
2017-01-01 06:00:00,-16.6,133.4,14.404432,997,-11.8,131.4,6,15481803.3470311,unnamed_aus2,class1
2017-01-01 00:00:00,7.5,227.8,13.375544,1005,8,227.6,0,24231615.5534462,unnamed_enp1,class1
2017-01-01 06:00:00,8.5,225.8,13.375544,1008,8.7,225.9,6,23875267.2758354,unnamed_enp1,class0
2017-01-01 00:00:00,1.6,79.3,18.519984,1006,1.4,79.1,0,8658736.12824157,unnamed_nin1,class0
2017-01-01 06:00:00,2.3,80.4,20.57776,1008,1.4,79.3,6,8777892.94100985,unnamed_nin1,class0
2017-01-01 00:00:00,1.4,87.8,19.548872,1003,1.1,87.7,0,9637780.05311599,unnamed_nin2,class1
2017-01-01 06:00:00,0.9,89.4,19.548872,1004,0.9,89.2,6,9839536.97901299,unnamed_nin2,class1
2017-01-01 00:00:00,-12,58.5,10.28888,1008,-12.1,58.6,0,7678820.6311296,unnamed_sin1,class0
2017-01-01 06:00:00,-12.2,58,11.832212,1009,-13,59.2,6,7717054.61828558,unnamed_sin1,class0
2017-01-01 00:00:00,-9.4,172.6,9.774436,1003,-11.1,173.8,0,20153110.7300402,unnamed_spc1,class1
2017-01-01 12:00:00,-15.2,133,11.317768,999,-11.7,129.3,0,15531901.2017058,unnamed_aus1,class1
2017-01-01 18:00:00,-14.4,131.6,15.947764,997,-12.5,129,6,15521228.9260022,unnamed_aus1,class1
2017-01-01 12:00:00,-17.6,151.3,8.231104,1005,-14.5,151.4,0,17576516.8590352,unnamed_aus2,class1
2017-01-01 12:00:00,9.9,223.8,13.375544,1007,9.7,224,0,23452344.5414805,unnamed_enp1,class0
2017-01-01 18:00:00,11,222.6,15.43332,1009,11.1,222.7,6,23085642.7796174,unnamed_enp1,class0
2017-01-01 12:00:00,1.8,81.4,20.57776,1001,1.7,81.2,0,8857869.65453506,unnamed_nin1,class1
2017-01-01 18:00:00,1.4,82.5,19.548872,1004,1.1,82.4,6,9048626.62270891,unnamed_nin1,class1
2017-01-01 12:00:00,-12.1,58.6,10.803324,1006,-13.1,58,0,7796342.1762528,unnamed_sin1,class0
2017-01-01 18:00:00,-12.2,58.9,10.803324,1009,-13.7,59.4,6,7892198.47512365,unnamed_sin1,class0
2017-01-02 00:00:00,-14.1,131.9,14.404432,1000,-11.8,128.3,0,15499414.7325637,unnamed_aus1,class1
2017-01-02 06:00:00,-14.2,131.9,13.375544,998,-10.6,130,6,15366345.0759022,unnamed_aus1,class1
2017-01-02 00:00:00,0.9,84.3,22.121092,1002,0.6,84.3,0,9305926.96616409,unnamed_nin1,class1
2017-01-02 06:00:00,1.1,86.2,22.121092,1002,0.9,86.2,6,9483205.36192773,unnamed_nin1,class1
2017-01-02 00:00:00,-12.5,58.7,9.774436,1008,-14.6,59.2,0,7960812.06639286,unnamed_sin1,class0
2017-01-02 00:00:00,5.2,159.7,12.346656,1006,6.1,160.5,0,17009542.5499655,unnamed_wnp1,class0
2017-01-02 06:00:00,3.1,160.3,12.8611,1004,4.7,158.6,6,17277528.1877079,unnamed_wnp1,class1
2017-01-02 12:00:00,38,320.4,21.092204,1002,37.6,320,0,24779767.1755921,unnamed_atl1,class1
2017-01-02 18:00:00,37.7,322,21.606648,999,37.4,321.6,6,25039142.3756106,unnamed_atl1,class1
2017-01-02 12:00:00,42.5,344.5,23.14998,995,44.7,340.8,0,24579270.8976572,unnamed_atl2,class1
2017-01-02 18:00:00,43.6,339.1,25.207756,995,46.5,339.4,6,23563598.3038552,unnamed_atl2,class1
2017-01-02 12:00:00,-8,94.6,15.43332,1005,-9.2,94.9,0,11430485.9579162,unnamed_aus1,class1
2017-01-02 18:00:00,-6.9,97.1,17.491096,1005,-5.6,94,6,11337931.3787867,unnamed_aus1,class1
2017-01-02 12:00:00,-14.6,131.9,13.375544,1000,-11.1,128.2,0,15392342.9390562,unnamed_aus2,class1
2017-01-02 18:00:00,-14.5,129.3,14.404432,997,-10.7,130.6,6,15077356.803396,unnamed_aus2,class1
2017-01-02 12:00:00,1.6,87.8,22.635536,999,1.3,87.8,0,9614668.96986366,unnamed_nin1,class1
2017-01-02 18:00:00,1.8,89.7,21.092204,1003,1.7,89.5,6,9780331.48314536,unnamed_nin1,class1
2017-01-02 12:00:00,6.5,89.8,10.803324,1007,9.4,87,0,8888455.33196854,unnamed_nin2,class0
2017-01-02 18:00:00,6.3,88.7,12.346656,1009,6.5,88.8,6,9085051.97557949,unnamed_nin2,class0
2017-01-02 12:00:00,-12.7,57.6,13.889988,1008,-13.8,58.7,0,7746044.49970581,unnamed_sin1,class0
2017-01-02 18:00:00,-12.5,57.3,12.8611,1011,-13.8,58.6,6,7719909.96386265,unnamed_sin1,class0
2017-01-02 12:00:00,3.9,99.7,10.803324,1007,7.3,101.9,0,10257588.0259438,unnamed_wnp1,class0
2017-01-03 00:00:00,37.4,323.2,19.034428,996,37.1,322.8,0,25272629.88359,unnamed_atl1,class1
2017-01-03 06:00:00,36.6,324.5,21.606648,994,34.5,324.5,6,25889129.8769654,unnamed_atl1,class1
2017-01-03 00:00:00,41.9,336,24.178868,986,42.1,335.9,0,24324252.1279239,unnamed_atl2,class2
2017-01-03 06:00:00,43,335.2,23.664424,983,43.2,335.5,6,23746274.2048968,unnamed_atl2,class2
2017-01-03 00:00:00,-6.6,96.7,19.548872,1004,-6.5,95.9,0,11399272.2412203,unnamed_aus1,class1
2017-01-03 06:00:00,-7.3,97,19.548872,1003,-6.8,97,6,11448613.7701783,unnamed_aus1,class1
2017-01-03 00:00:00,-13.5,129.6,14.918876,997,-13.2,129.7,0,15439943.5973716,unnamed_aus2,class1
2017-01-03 06:00:00,-14.2,128.8,14.918876,994,-13.9,128.6,6,15382725.8018788,unnamed_aus2,class1
