,fname,xmin,ymin,w,h,name,id,height,width,iscrowd,area
0,ssd_20160401_00.png,1293,0,20,12,class3,0,481,1440,0,240
1,ssd_20160401_06.png,1299,0,20,13,class2,1,481,1440,0,260
2,ssd_20160401_00.png,756,29,20,20,class2,0,481,1440,0,400
3,ssd_20160401_06.png,753,26,20,20,class2,1,481,1440,0,400
4,ssd_20160401_00.png,220,285,20,20,class0,0,481,1440,0,400
5,ssd_20160401_06.png,217,285,20,20,class0,1,481,1440,0,400
6,ssd_20160401_00.png,643,282,20,20,class0,0,481,1440,0,400
7,ssd_20160401_06.png,632,279,20,20,class1,1,481,1440,0,400
8,ssd_20160401_00.png,681,283,20,20,class0,0,481,1440,0,400
9,ssd_20160401_06.png,681,281,20,20,class0,1,481,1440,0,400
10,ssd_20160401_00.png,840,436,20,20,class2,0,481,1440,0,400
11,ssd_20160401_06.png,850,434,20,20,class2,1,481,1440,0,400
12,ssd_20160401_12.png,1304,0,20,12,class2,2,481,1440,0,240
13,ssd_20160401_18.png,1310,0,20,10,class2,3,481,1440,0,200
14,ssd_20160401_12.png,746,25,20,20,class2,2,481,1440,0,400
15,ssd_20160401_18.png,742,26,20,20,class2,3,481,1440,0,400
16,ssd_20160401_12.png,680,285,20,20,class0,2,481,1440,0,400
17,ssd_20160401_18.png,683,282,20,20,class0,3,481,1440,0,400
18,ssd_20160401_12.png,716,284,20,20,class0,2,481,1440,0,400
19,ssd_20160402_00.png,743,31,20,20,class2,4,481,1440,0,400
20,ssd_20160402_06.png,751,32,20,20,class2,5,481,1440,0,400
21,ssd_20160402_00.png,190,258,20,20,class0,4,481,1440,0,400
22,ssd_20160402_00.png,207,280,20,20,class0,4,481,1440,0,400
23,ssd_20160402_06.png,206,281,20,20,class0,5,481,1440,0,400
24,ssd_20160402_00.png,663,284,20,20,class0,4,481,1440,0,400
25,ssd_20160402_06.png,660,285,20,20,class1,5,481,1440,0,400
26,ssd_20160402_00.png,691,283,20,20,class0,4,481,1440,0,400
27,ssd_20160402_06.png,688,288,20,20,class1,5,481,1440,0,400
28,ssd_20160402_12.png,204,282,20,20,class0,6,481,1440,0,400
29,ssd_20160402_18.png,202,283,20,20,class0,7,481,1440,0,400
30,ssd_20160402_12.png,658,285,20,20,class0,6,481,1440,0,400
31,ssd_20160402_18.png,664,280,20,20,class1,7,481,1440,0,400
32,ssd_20160402_12.png,687,289,20,20,class0,6,481,1440,0,400
33,ssd_20160402_18.png,679,289,20,20,class1,7,481,1440,0,400
34,ssd_20160403_00.png,864,224,20,20,class0,8,481,1440,0,400
35,ssd_20160403_00.png,194,271,20,20,class0,8,481,1440,0,400
36,ssd_20160403_00.png,649,283,20,20,class1,8,481,1440,0,400
37,ssd_20160403_00.png,678,291,20,20,class0,8,481,1440,0,400
38,ssd_20160403_06.png,684,296,20,20,class1,9,481,1440,0,400
39,ssd_20160403_12.png,195,283,20,20,class0,10,481,1440,0,400
40,ssd_20160403_12.png,688,299,20,20,class1,10,481,1440,0,400
41,ssd_20160403_18.png,696,306,20,20,class1,11,481,1440,0,400
42,ssd_20160404_00.png,508,247,20,20,class0,12,481,1440,0,400
43,ssd_20160404_06.png,509,250,20,20,class1,13,481,1440,0,400
44,ssd_20160404_00.png,183,280,20,20,class0,12,481,1440,0,400
45,ssd_20160404_06.png,172,279,20,20,class0,13,481,1440,0,400
46,ssd_20160404_00.png,636,282,20,20,class1,12,481,1440,0,400
47,ssd_20160404_06.png,636,284,20,20,class1,13,481,1440,0,400
48,ssd_20160404_00.png,682,298,20,20,class1,12,481,1440,0,400
49,ssd_20160404_00.png,702,309,20,20,class1,12,481,1440,0,400
50,ssd_20160404_06.png,701,311,20,20,class1,13,481,1440,0,400
51,ssd_20160404_00.png,812,402,20,20,class2,12,481,1440,0,400
52,ssd_20160404_06.png,816,400,20,20,class2,13,481,1440,0,400
53,ssd_20160404_12.png,168,279,20,20,class1,14,481,1440,0,400
54,ssd_20160404_18.png,165,280,20,20,class1,15,481,1440,0,400
55,ssd_20160404_12.png,640,283,20,20,class1,14,481,1440,0,400
56,ssd_20160404_18.png,644,285,20,20,class1,15,481,1440,0,400
57,ssd_20160404_12.png,666,299,20,20,class1,14,481,1440,0,400
58,ssd_20160404_18.png,668,302,20,20,class1,15,481,1440,0,400
59,ssd_20160404_12.png,703,310,20,20,class1,14,481,1440,0,400
60,ssd_20160404_18.png,707,310,20,20,class1,15,481,1440,0,400
61,ssd_20160404_12.png,749,288,20,20,class0,14,481,1440,0,400
62,ssd_20160404_18.png,753,298,20,20,class0,15,481,1440,0,400
63,ssd_20160404_12.png,814,402,20,20,class2,14,481,1440,0,400
64,ssd_20160404_18.png,818,401,20,20,class2,15,481,1440,0,400
65,ssd_20160405_00.png,649,286,20,20,class1,16,481,1440,0,400
66,ssd_20160405_06.png,657,291,20,20,class1,17,481,1440,0,400
67,ssd_20160405_00.png,677,305,20,20,class1,16,481,1440,0,400
68,ssd_20160405_06.png,679,306,20,20,class1,17,481,1440,0,400
69,ssd_20160405_00.png,714,315,20,20,class1,16,481,1440,0,400
70,ssd_20160405_06.png,717,313,20,20,class1,17,481,1440,0,400
71,ssd_20160405_00.png,824,402,20,20,class2,16,481,1440,0,400
72,ssd_20160405_06.png,831,404,20,20,class1,17,481,1440,0,400
73,ssd_20160405_00.png,832,427,20,20,class1,16,481,1440,0,400
74,ssd_20160405_06.png,824,433,20,20,class1,17,481,1440,0,400
75,ssd_20160405_12.png,1000,27,20,20,class1,18,481,1440,0,400
76,ssd_20160405_18.png,1012,34,20,20,class1,19,481,1440,0,400
77,ssd_20160405_12.png,662,293,20,20,class1,18,481,1440,0,400
78,ssd_20160405_18.png,670,298,20,20,class2,19,481,1440,0,400
79,ssd_20160405_12.png,725,315,20,20,class1,18,481,1440,0,400
80,ssd_20160405_18.png,730,320,20,20,class1,19,481,1440,0,400
81,ssd_20160405_12.png,843,409,20,20,class1,18,481,1440,0,400
82,ssd_20160405_18.png,852,416,20,20,class1,19,481,1440,0,400
83,ssd_20160406_00.png,678,301,20,20,class2,20,481,1440,0,400
84,ssd_20160406_06.png,688,304,20,20,class1,21,481,1440,0,400
85,ssd_20160406_00.png,734,319,20,20,class1,20,481,1440,0,400
86,ssd_20160406_06.png,743,321,20,20,class1,21,481,1440,0,400
87,ssd_20160406_00.png,858,423,20,20,class1,20,481,1440,0,400
88,ssd_20160406_06.png,866,428,20,20,class1,21,481,1440,0,400
89,ssd_20160406_12.png,154,296,20,20,class0,22,481,1440,0,400
90,ssd_20160406_18.png,152,298,20,20,class0,23,481,1440,0,400
91,ssd_20160406_12.png,703,312,20,20,class1,22,481,1440,0,400
92,ssd_20160406_18.png,714,315,20,20,class2,23,481,1440,0,400
93,ssd_20160406_12.png,749,323,20,20,class1,22,481,1440,0,400
94,ssd_20160406_18.png,760,327,20,20,class1,23,481,1440,0,400
95,ssd_20160406_12.png,871,432,20,20,class1,22,481,1440,0,400
96,ssd_20160406_18.png,878,432,20,20,class1,23,481,1440,0,400
97,ssd_20160406_12.png,908,236,20,20,class0,22,481,1440,0,400
98,ssd_20160407_00.png,183,402,20,20,class2,24,481,1440,0,400
99,ssd_20160407_06.png,178,396,20,20,class2,25,481,1440,0,400
100,ssd_20160407_00.png,727,317,20,20,class1,24,481,1440,0,400
101,ssd_20160407_06.png,738,319,20,20,class1,25,481,1440,0,400
102,ssd_20160407_00.png,832,261,20,20,class0,24,481,1440,0,400
103,ssd_20160407_06.png,832,266,20,20,class0,25,481,1440,0,400
104,ssd_20160407_12.png,758,320,20,20,class1,26,481,1440,0,400
105,ssd_20160407_18.png,765,320,20,20,class1,27,481,1440,0,400
106,ssd_20160407_12.png,543,215,20,20,class0,26,481,1440,0,400
107,ssd_20160407_18.png,536,211,20,20,class0,27,481,1440,0,400
108,ssd_20160408_00.png,1271,0,20,7,class2,28,481,1440,0,140
109,ssd_20160408_06.png,1280,0,20,6,class2,29,481,1440,0,120
110,ssd_20160408_00.png,406,270,20,20,class0,28,481,1440,0,400
111,ssd_20160408_06.png,404,277,20,20,class0,29,481,1440,0,400
112,ssd_20160408_00.png,326,270,20,20,class0,28,481,1440,0,400
113,ssd_20160408_06.png,317,268,20,20,class0,29,481,1440,0,400
114,ssd_20160408_00.png,930,244,20,20,class0,28,481,1440,0,400
115,ssd_20160408_12.png,1282,0,20,7,class2,30,481,1440,0,140
116,ssd_20160408_18.png,1290,0,20,12,class2,31,481,1440,0,240
117,ssd_20160408_12.png,947,207,20,20,class0,30,481,1440,0,400
118,ssd_20160409_00.png,1121,209,20,20,class1,32,481,1440,0,400
119,ssd_20160409_06.png,1121,209,20,20,class0,33,481,1440,0,400
120,ssd_20160409_00.png,1303,1,20,20,class2,32,481,1440,0,400
121,ssd_20160409_06.png,1318,13,20,20,class1,33,481,1440,0,400
122,ssd_20160409_00.png,1365,0,20,9,class2,32,481,1440,0,180
123,ssd_20160409_06.png,1352,0,20,13,class2,33,481,1440,0,260
124,ssd_20160409_00.png,887,202,20,20,class0,32,481,1440,0,400
125,ssd_20160409_00.png,939,205,20,20,class0,32,481,1440,0,400
126,ssd_20160409_06.png,935,206,20,20,class0,33,481,1440,0,400
127,ssd_20160409_00.png,300,275,20,20,class0,32,481,1440,0,400
128,ssd_20160409_06.png,298,273,20,20,class0,33,481,1440,0,400
129,ssd_20160409_12.png,1340,2,20,20,class1,34,481,1440,0,400
130,ssd_20160409_18.png,1332,16,20,20,class1,35,481,1440,0,400
131,ssd_20160409_12.png,1382,0,20,15,class1,34,481,1440,0,300
132,ssd_20160409_12.png,628,270,20,20,class0,34,481,1440,0,400
133,ssd_20160409_18.png,632,273,20,20,class0,35,481,1440,0,400
134,ssd_20160409_12.png,755,224,20,20,class0,34,481,1440,0,400
135,ssd_20160409_18.png,749,214,20,20,class0,35,481,1440,0,400
136,ssd_20160409_12.png,957,208,20,20,class0,34,481,1440,0,400
137,ssd_20160410_00.png,1359,6,20,20,class1,36,481,1440,0,400
138,ssd_20160410_06.png,1348,18,20,20,class1,37,481,1440,0,400
139,ssd_20160410_00.png,1383,36,20,20,class2,36,481,1440,0,400
140,ssd_20160410_06.png,1384,36,20,20,class2,37,481,1440,0,400
141,ssd_20160410_00.png,291,280,20,20,class0,36,481,1440,0,400
142,ssd_20160410_06.png,290,278,20,20,class0,37,481,1440,0,400
143,ssd_20160410_12.png,1386,32,20,20,class2,38,481,1440,0,400
144,ssd_20160410_18.png,1379,31,20,20,class2,39,481,1440,0,400
145,ssd_20160410_12.png,623,271,20,20,class0,38,481,1440,0,400
146,ssd_20160410_18.png,632,273,20,20,class0,39,481,1440,0,400
147,ssd_20160410_12.png,287,278,20,20,class1,38,481,1440,0,400
148,ssd_20160410_18.png,285,277,20,20,class0,39,481,1440,0,400
149,ssd_20160410_12.png,739,284,20,20,class0,38,481,1440,0,400
150,ssd_20160410_18.png,748,286,20,20,class0,39,481,1440,0,400
151,ssd_20160411_00.png,1118,217,20,20,class0,40,481,1440,0,400
152,ssd_20160411_06.png,1120,209,20,20,class0,41,481,1440,0,400
153,ssd_20160411_00.png,1368,33,20,20,class2,40,481,1440,0,400
154,ssd_20160411_06.png,1361,38,20,20,class2,41,481,1440,0,400
155,ssd_20160411_00.png,282,277,20,20,class0,40,481,1440,0,400
156,ssd_20160411_06.png,282,281,20,20,class0,41,481,1440,0,400
157,ssd_20160411_00.png,695,273,20,20,class0,40,481,1440,0,400
158,ssd_20160411_06.png,699,271,20,20,class0,41,481,1440,0,400
159,ssd_20160411_12.png,1356,49,20,20,class2,42,481,1440,0,400
160,ssd_20160411_18.png,1356,51,20,20,class2,43,481,1440,0,400
161,ssd_20160411_12.png,1378,48,20,20,class2,42,481,1440,0,400
162,ssd_20160411_18.png,1374,41,20,20,class2,43,481,1440,0,400
163,ssd_20160411_12.png,390,262,20,20,class0,42,481,1440,0,400
164,ssd_20160411_12.png,278,282,20,20,class1,42,481,1440,0,400
165,ssd_20160411_18.png,275,282,20,20,class1,43,481,1440,0,400
166,ssd_20160412_00.png,1361,55,20,20,class2,44,481,1440,0,400
167,ssd_20160412_06.png,1371,52,20,20,class2,45,481,1440,0,400
168,ssd_20160412_00.png,272,283,20,20,class1,44,481,1440,0,400
169,ssd_20160412_06.png,270,283,20,20,class1,45,481,1440,0,400
170,ssd_20160412_00.png,627,60,20,20,class3,44,481,1440,0,400
171,ssd_20160412_06.png,638,58,20,20,class3,45,481,1440,0,400
172,ssd_20160412_12.png,1372,45,20,20,class2,46,481,1440,0,400
173,ssd_20160412_18.png,1373,41,20,20,class2,47,481,1440,0,400
174,ssd_20160412_12.png,614,270,20,20,class0,46,481,1440,0,400
175,ssd_20160412_12.png,266,282,20,20,class2,46,481,1440,0,400
176,ssd_20160412_18.png,263,281,20,20,class2,47,481,1440,0,400
177,ssd_20160412_12.png,722,273,20,20,class0,46,481,1440,0,400
178,ssd_20160412_18.png,713,281,20,20,class0,47,481,1440,0,400
179,ssd_20160412_12.png,650,54,20,20,class3,46,481,1440,0,400
180,ssd_20160412_18.png,659,54,20,20,class3,47,481,1440,0,400
181,ssd_20160413_00.png,1371,37,20,20,class2,48,481,1440,0,400
182,ssd_20160413_06.png,1364,37,20,20,class2,49,481,1440,0,400
183,ssd_20160413_00.png,364,286,20,20,class0,48,481,1440,0,400
184,ssd_20160413_06.png,362,287,20,20,class0,49,481,1440,0,400
185,ssd_20160413_00.png,872,222,20,20,class0,48,481,1440,0,400
186,ssd_20160413_06.png,865,216,20,20,class0,49,481,1440,0,400
187,ssd_20160413_00.png,260,282,20,20,class2,48,481,1440,0,400
188,ssd_20160413_06.png,256,281,20,20,class2,49,481,1440,0,400
189,ssd_20160413_00.png,788,234,20,20,class0,48,481,1440,0,400
190,ssd_20160413_06.png,776,232,20,20,class0,49,481,1440,0,400
191,ssd_20160413_12.png,1358,36,20,20,class1,50,481,1440,0,400
192,ssd_20160413_18.png,1352,37,20,20,class1,51,481,1440,0,400
193,ssd_20160413_12.png,447,263,20,20,class0,50,481,1440,0,400
194,ssd_20160413_12.png,253,281,20,20,class2,50,481,1440,0,400
195,ssd_20160413_18.png,249,280,20,20,class2,51,481,1440,0,400
196,ssd_20160414_00.png,1345,40,20,20,class1,52,481,1440,0,400
197,ssd_20160414_06.png,1340,42,20,20,class1,53,481,1440,0,400
198,ssd_20160414_00.png,1381,58,20,20,class1,52,481,1440,0,400
199,ssd_20160414_06.png,1388,44,20,20,class1,53,481,1440,0,400
200,ssd_20160414_00.png,806,214,20,20,class0,52,481,1440,0,400
201,ssd_20160414_06.png,798,215,20,20,class0,53,481,1440,0,400
202,ssd_20160414_00.png,247,280,20,20,class3,52,481,1440,0,400
203,ssd_20160414_06.png,244,280,20,20,class2,53,481,1440,0,400
204,ssd_20160414_00.png,336,286,20,20,class1,52,481,1440,0,400
205,ssd_20160414_00.png,691,276,20,20,class0,52,481,1440,0,400
206,ssd_20160414_06.png,685,280,20,20,class1,53,481,1440,0,400
207,ssd_20160414_12.png,1337,44,20,20,class1,54,481,1440,0,400
