,Unnamed: 0,fname,xmin,ymin,w,h,name,id,height,width,iscrowd,area
2,2,ssd_20170101_00.png,881,636,80,80,class1,0,1201,3600,0,6400
3,3,ssd_20170101_00.png,1310,718,80,80,class1,0,1201,3600,0,6400
4,4,ssd_20170101_06.png,1294,726,80,80,class1,1,1201,3600,0,6400
5,5,ssd_20170101_00.png,2238,485,80,80,class1,0,1201,3600,0,6400
6,6,ssd_20170101_06.png,2218,475,80,80,class0,1,1201,3600,0,6400
7,7,ssd_20170101_00.png,753,544,80,80,class0,0,1201,3600,0,6400
8,8,ssd_20170101_06.png,764,537,80,80,class0,1,1201,3600,0,6400
9,9,ssd_20170101_00.png,838,546,80,80,class1,0,1201,3600,0,6400
10,10,ssd_20170101_06.png,854,551,80,80,class1,1,1201,3600,0,6400
11,11,ssd_20170101_00.png,545,680,80,80,class0,0,1201,3600,0,6400
12,12,ssd_20170101_06.png,540,682,80,80,class0,1,1201,3600,0,6400
13,13,ssd_20170101_00.png,1686,654,80,80,class1,0,1201,3600,0,6400
14,14,ssd_20170101_12.png,1290,712,80,80,class1,2,1201,3600,0,6400
15,15,ssd_20170101_18.png,1276,704,80,80,class1,3,1201,3600,0,6400
16,16,ssd_20170101_12.png,1473,736,80,80,class1,2,1201,3600,0,6400
17,17,ssd_20170101_12.png,2198,461,80,80,class0,2,1201,3600,0,6400
18,18,ssd_20170101_18.png,2186,450,80,80,class0,3,1201,3600,0,6400
19,19,ssd_20170101_12.png,774,542,80,80,class1,2,1201,3600,0,6400
20,20,ssd_20170101_18.png,785,546,80,80,class1,3,1201,3600,0,6400
21,21,ssd_20170101_12.png,546,681,80,80,class0,2,1201,3600,0,6400
22,22,ssd_20170101_18.png,549,682,80,80,class0,3,1201,3600,0,6400
23,23,ssd_20170102_00.png,1279,701,80,80,class1,4,1201,3600,0,6400
24,24,ssd_20170102_06.png,1279,702,80,80,class1,5,1201,3600,0,6400
25,25,ssd_20170102_00.png,803,551,80,80,class1,4,1201,3600,0,6400
26,26,ssd_20170102_06.png,822,549,80,80,class1,5,1201,3600,0,6400
27,27,ssd_20170102_00.png,547,685,80,80,class0,4,1201,3600,0,6400
28,28,ssd_20170102_00.png,1557,508,80,80,class0,4,1201,3600,0,6400
29,29,ssd_20170102_06.png,1563,529,80,80,class1,5,1201,3600,0,6400
34,34,ssd_20170102_12.png,906,640,80,80,class1,6,1201,3600,0,6400
35,35,ssd_20170102_18.png,931,629,80,80,class1,7,1201,3600,0,6400
36,36,ssd_20170102_12.png,1279,706,80,80,class1,6,1201,3600,0,6400
37,37,ssd_20170102_18.png,1253,705,80,80,class1,7,1201,3600,0,6400
38,38,ssd_20170102_12.png,838,544,80,80,class1,6,1201,3600,0,6400
39,39,ssd_20170102_18.png,857,542,80,80,class1,7,1201,3600,0,6400
40,40,ssd_20170102_12.png,858,495,80,80,class0,6,1201,3600,0,6400
41,41,ssd_20170102_18.png,847,497,80,80,class0,7,1201,3600,0,6400
42,42,ssd_20170102_12.png,536,687,80,80,class0,6,1201,3600,0,6400
43,43,ssd_20170102_18.png,533,685,80,80,class0,7,1201,3600,0,6400
44,44,ssd_20170102_12.png,957,521,80,80,class0,6,1201,3600,0,6400
49,49,ssd_20170103_00.png,927,626,80,80,class1,8,1201,3600,0,6400
50,50,ssd_20170103_06.png,930,633,80,80,class1,9,1201,3600,0,6400
51,51,ssd_20170103_00.png,1256,695,80,80,class1,8,1201,3600,0,6400
52,52,ssd_20170103_06.png,1248,702,80,80,class1,9,1201,3600,0,6400
53,53,ssd_20170103_00.png,882,543,80,80,class1,8,1201,3600,0,6400
54,54,ssd_20170103_06.png,897,534,80,80,class1,9,1201,3600,0,6400
55,55,ssd_20170103_00.png,882,543,80,80,class1,8,1201,3600,0,6400
56,56,ssd_20170103_06.png,897,534,80,80,class1,9,1201,3600,0,6400
59,59,ssd_20170103_12.png,1251,702,80,80,class1,10,1201,3600,0,6400
60,60,ssd_20170103_18.png,1248,706,80,80,class1,11,1201,3600,0,6400
61,61,ssd_20170103_12.png,906,530,80,80,class1,10,1201,3600,0,6400
62,62,ssd_20170103_18.png,913,523,80,80,class1,11,1201,3600,0,6400
63,63,ssd_20170103_12.png,519,684,80,80,class0,10,1201,3600,0,6400
64,64,ssd_20170103_18.png,515,675,80,80,class0,11,1201,3600,0,6400
65,65,ssd_20170103_12.png,906,530,80,80,class1,10,1201,3600,0,6400
66,66,ssd_20170103_18.png,913,523,80,80,class1,11,1201,3600,0,6400
67,67,ssd_20170103_12.png,1386,527,80,80,class0,10,1201,3600,0,6400
71,71,ssd_20170104_00.png,968,643,80,80,class1,12,1201,3600,0,6400
72,72,ssd_20170104_06.png,980,656,80,80,class1,13,1201,3600,0,6400
73,73,ssd_20170104_00.png,1241,711,80,80,class1,12,1201,3600,0,6400
74,74,ssd_20170104_06.png,1228,715,80,80,class1,13,1201,3600,0,6400
77,77,ssd_20170104_00.png,1361,526,80,80,class0,12,1201,3600,0,6400
78,78,ssd_20170104_06.png,1349,536,80,80,class1,13,1201,3600,0,6400
83,83,ssd_20170104_12.png,989,663,80,80,class1,14,1201,3600,0,6400
84,84,ssd_20170104_18.png,990,666,80,80,class1,15,1201,3600,0,6400
85,85,ssd_20170104_12.png,1229,718,80,80,class1,14,1201,3600,0,6400
86,86,ssd_20170104_18.png,1221,732,80,80,class1,15,1201,3600,0,6400
87,87,ssd_20170104_12.png,912,487,80,80,class1,14,1201,3600,0,6400
88,88,ssd_20170104_18.png,910,481,80,80,class1,15,1201,3600,0,6400
89,89,ssd_20170104_12.png,492,674,80,80,class0,14,1201,3600,0,6400
92,92,ssd_20170104_12.png,912,487,80,80,class1,14,1201,3600,0,6400
93,93,ssd_20170104_18.png,910,481,80,80,class1,15,1201,3600,0,6400
94,94,ssd_20170104_12.png,1336,527,80,80,class0,14,1201,3600,0,6400
97,97,ssd_20170105_00.png,985,674,80,80,class1,16,1201,3600,0,6400
98,98,ssd_20170105_06.png,983,677,80,80,class1,17,1201,3600,0,6400
99,99,ssd_20170105_00.png,1210,735,80,80,class1,16,1201,3600,0,6400
100,100,ssd_20170105_06.png,1207,742,80,80,class1,17,1201,3600,0,6400
101,101,ssd_20170105_00.png,912,481,80,80,class1,16,1201,3600,0,6400
102,102,ssd_20170105_06.png,903,480,80,80,class1,17,1201,3600,0,6400
103,103,ssd_20170105_00.png,477,665,80,80,class0,16,1201,3600,0,6400
104,104,ssd_20170105_00.png,912,481,80,80,class1,16,1201,3600,0,6400
105,105,ssd_20170105_06.png,903,480,80,80,class1,17,1201,3600,0,6400
106,106,ssd_20170105_12.png,985,678,80,80,class1,18,1201,3600,0,6400
107,107,ssd_20170105_18.png,980,680,80,80,class1,19,1201,3600,0,6400
108,108,ssd_20170105_12.png,1197,750,80,80,class1,18,1201,3600,0,6400
109,109,ssd_20170105_18.png,1186,754,80,80,class1,19,1201,3600,0,6400
110,110,ssd_20170105_12.png,900,488,80,80,class1,18,1201,3600,0,6400
111,111,ssd_20170105_18.png,907,492,80,80,class1,19,1201,3600,0,6400
112,112,ssd_20170105_12.png,475,655,80,80,class0,18,1201,3600,0,6400
113,113,ssd_20170105_18.png,471,659,80,80,class0,19,1201,3600,0,6400
114,114,ssd_20170105_12.png,1565,618,80,80,class1,18,1201,3600,0,6400
115,115,ssd_20170105_18.png,1544,604,80,80,class1,19,1201,3600,0,6400
116,116,ssd_20170105_12.png,900,488,80,80,class1,18,1201,3600,0,6400
117,117,ssd_20170105_18.png,907,492,80,80,class1,19,1201,3600,0,6400
